,file,flag,period
0,flare10788,0.0,133.9226457146543
1,flare122522,1.0,0.01933710112066229
2,flare129113,1.0,183782.02825253093
3,flare159804,0.0,27.77048982165329
4,flare161404,1.0,531.7735632358582
5,flare165101,0.0,36.23061311327127
6,flare166659,1.0,114510.69567941887
7,flare172202,0.0,6.8219531710405175
8,flare173913,0.0,29.708665385156873
9,flare181841,0.0,35.98954797034714
10,flare186811,0.0,18.990486826140472
11,flare189376,1.0,54183.92658363677
12,flare19470,0.0,18.632978090173896
13,flare19778,0.0,5.618437559992446
14,flare202467,1.0,0.14137155660315512
15,flare206268,0.0,42.94061076814015
16,flare236578,0.0,17.316518114344856
17,flare265386,1.0,20539841.923631582
18,flare265704,1.0,20539841.923631582
19,flare270100,0.0,6.085972172028826
20,flare271094,0.0,27.809241150996204
21,flare294407,1.0,499.55119640435817
22,flare294432,0.0,19.298331376602487
23,flare296222,0.0,51.848104727495915
24,flare297054,0.0,139.50925892645714
25,flare299667,1.0,-1.0
26,flare300829,0.0,178.38117339391633
27,flare302062,1.0,486.5224286454051
28,flare305069,0.0,31.96714542245949
29,flare317016,1.0,286.2326207026423
30,flare319153,0.0,10.36073802825612
31,flare325910,1.0,2.2264456539105186
32,flare329919,1.0,272.84763486175467
33,flare337630,1.0,20539841.923631582
34,flare338322,0.0,21.51382065347375
35,flare346770,0.0,22.557334474816855
36,flare352381,0.0,32.72266549633561
37,flare36096,1.0,104421.34402489141
38,flare361207,0.0,56.2482551813223
39,flare37274,0.0,29.357684421808056
40,flare379291,0.0,24.683432806907934
41,flare379938,1.0,1417.4553635085117
42,flare384314,0.0,12.345930688692382
43,flare389450,0.0,100.10640275404175
44,flare389522,1.0,647.5543892142485
45,flare395421,0.0,89.1307670831739
46,flare400029,1.0,20539841.923631582
47,flare40287,1.0,5009.170508913342
48,flare404267,0.0,12.954848569814095
49,flare419839,1.0,0.15385388226906502
50,flare428659,0.0,11.736303531707305
51,flare42890,0.0,12.244310554437597
52,flare429937,0.0,8.458001016161694
53,flare455290,1.0,352.34768937983137
54,flare458825,1.0,2780.4220445168366
55,flare46475,1.0,260.12846687142707
56,flare472866,0.0,29.892764345648086
57,flare48429,1.0,237.5427547943885
58,flare487534,0.0,24.577586294736914
59,flare495362,1.0,260.28710355255265
60,flare539360,1.0,245.0934262109309
61,flare542708,0.0,135.55039620019565
62,flare555140,0.0,16.786681519539137
63,flare562635,1.0,19226.168826606707
64,flare563266,0.0,42.84912866496284
65,flare5700,0.0,104.21981718644486
66,flare598396,1.0,20539841.923631582
67,flare609742,0.0,28.331333425543477
68,flare612579,1.0,136936.52833000408
69,flare65858,1.0,225.3718784798354
70,flare673371,0.0,23.724184983675716
71,flare705126,1.0,-1.0
72,flare71150,0.0,37.58518907099258
73,flare711796,0.0,8.376918571928279
74,flare732564,0.0,5.442702642160834
75,flare744131,1.0,249.40629138945502
76,flare758518,1.0,0.2126892704780025
77,flare761192,1.0,9843.923561024083
78,flare762506,1.0,5558840.337763776
79,flare773629,1.0,40325.58423932539
80,flare820146,0.0,53.68702954974392
81,flare821893,1.0,482.70853328051203
82,flare845195,1.0,479.5013495390642
83,flare846898,1.0,57320.06661537386
84,flare857620,0.0,87.59123841114942
85,flare864638,1.0,242.18040532478813
86,flare869934,0.0,37.50619209481205
87,flare870036,1.0,12042716.178644534
88,flare878437,0.0,13.061674227668696
89,flare889948,0.0,36.44504461620468
90,flare898375,1.0,348.54899456761
91,flare908144,0.0,34.065793039022466
92,flare909778,1.0,269.05073972308105
93,flare912965,0.0,25.87468385043907
94,flare923302,1.0,20539841.923631582
95,flare935871,1.0,166874.91369119668
96,flare940137,0.0,31.42944036212753
97,flare968250,1.0,6880893.032014536
98,flare976425,0.0,14.446044421632546
99,flare997404,1.0,297.55892552364907
